index,time,channel,amplitude
399,9.8131,c_236ch,-28.30386
400,9.88975,c_715ch,-16.93329
401,9.895,c_664ch,-39.37416
402,9.96295,c_862ch,-22.04089
403,10.0896,c_79ch,-28.73535
404,10.1205,c_862ch,-21.9195
405,10.12055,c_909ch,-25.4221
406,10.1658,c_703ch,-22.58179
407,10.17655,c_932ch,-18.93924
408,10.1991,c_528ch,-34.51276
409,10.19935,c_660ch,-34.52415
410,10.31195,c_932ch,-18.67443
411,10.39475,c_793ch,-27.30453
412,10.3948,c_701ch,-32.45147
413,10.3986,c_932ch,-21.29364
414,10.40265,c_528ch,-33.79668
415,10.403,c_660ch,-28.24209
416,10.40305,c_888ch,-22.45281
417,10.44795,c_236ch,-35.36329
418,10.4565,c_752ch,-25.0575
419,10.4687,c_153ch,-37.93776
420,10.53995,c_91ch,-22.93899
421,10.616,c_659ch,-18.97238
422,10.64635,c_621ch,-21.22713
423,10.6754,c_78ch,-25.06422
424,10.67545,c_959ch,-31.05453
425,10.8093,c_909ch,-23.04526
426,10.89075,c_933ch,-26.85347
427,10.8949,c_959ch,-30.45204
428,11.04055,c_528ch,-25.01879
429,11.12075,c_793ch,-30.64467
430,11.1208,c_701ch,-32.06408
431,11.1208,c_933ch,-24.9604
432,11.13495,c_576ch,-24.05933
433,11.13535,c_1020ch,-26.03388
434,11.156,c_924ch,-24.06227
435,11.2265,c_528ch,-22.43495
436,11.2341,c_724ch,-21.4901
437,11.24005,c_1016ch,-21.68091
438,11.25035,c_528ch,-29.02121
439,11.25065,c_660ch,-36.69068
440,11.2507,c_888ch,-30.10418
441,11.2803,c_733ch,-37.89508
442,11.3077,c_959ch,-26.43607
443,11.32665,c_1016ch,-28.97718
444,11.32685,c_660ch,-21.16504
445,11.37155,c_680ch,-26.66612
446,11.5019,c_862ch,-21.96089
447,11.502,c_909ch,-34.01532
448,11.5021,c_958ch,-21.6233
449,11.59205,c_873ch,-18.86293
450,11.59395,c_731ch,-23.02149
451,11.62105,c_862ch,-22.15835
452,11.62195,c_638ch,-19.42746
453,11.622,c_718ch,-26.33961
454,11.66925,c_932ch,-30.88115
455,11.67955,c_933ch,-23.95854
456,11.71315,c_862ch,-28.51678
457,11.7132,c_909ch,-24.98281
458,11.79505,c_848ch,-22.8091
459,11.88415,c_1020ch,-22.78965
